customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
97475543.0,Niharika Nagi,ektataneja@example.org,912987579691.0,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865.0,2023-05-13,Premium,13.0,451.92
22077605.0,Megha Sachar,vedant45@example.com,915123179717.0,"51/302, Buch Chowk
Srinagar-570271",Aligarh,149394.0,2024-06-18,Inactive,4.0,825.48
47822591.0,Hema Bahri,samiazaan@example.com,910034076149.0,"941
Anne Street, Darbhanga 186125",Begusarai,621411.0,2024-09-25,Regular,17.0,1969.81
79726146.0,Zaitra Vig,ishanvi87@example.org,916264232390.0,"43/94, Ghosh, Alappuzha 635655",Kozhikode,826054.0,2023-10-04,New,4.0,220.09
57102800.0,Januja Verma,atideshpande@example.org,917293526596.0,"06
Om, Ambarnath 477463",Ichalkaranji,730539.0,2024-03-22,Inactive,14.0,578.14
54748429.0,Darsh More,ynayar@example.org,912582120513.0,"26/961
Salvi Circle, Durg 406361",Visakhapatnam,883122.0,2024-04-22,New,2.0,669.35
49152878.0,Patrick Sandhu,zehaanmahajan@example.org,912413014420.0,"304
Tara Road, Gandhinagar-559930",Gwalior,649817.0,2024-09-13,Premium,4.0,973.62
16379942.0,Harshil Kuruvilla,pathakanirudh@example.org,913807361990.0,"37/62, Basu Chowk
Sikar 515907",Orai,332997.0,2024-04-10,Inactive,15.0,1370.56
11071601.0,Ojas Ahuja,sneha11@example.com,912865080618.0,"H.No. 99
Kade Road
Ramgarh 695009",Buxar,528426.0,2023-07-04,Inactive,17.0,1950.54
68164013.0,Netra Chander,hwarrior@example.org,917645901970.0,"H.No. 94
Gupta Path, Hospet-831040",Malegaon,4515.0,2023-06-29,New,1.0,1061.82
80404839.0,Kashish Dora,pushti81@example.net,912463646408.0,"H.No. 24
Pant Street, Mathura 348430",Katni,642727.0,2023-04-13,Inactive,10.0,1537.35
